Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/sports/raiders-jimmy-garoppolo-hit-two-game-suspension-violating-nfls-ped-policy-report.print,117.861328125,84,text/html
https://www.foxnews.com/opinion/greg-gutfeld-imagine-how-easy-fun-would-be-president-kamala-harris.print,119.6083984375,87,text/html
https://www.foxnews.com/entertainment/king-charles-returns-london-queen-camilla-expected-continue-cancer-treatment.print,138.978515625,87,text/html
https://www.foxnews.com/sports/ex-wwe-star-davey-boy-smith-jr-reveals-reaction-vince-mcmahon-allegations,206.123046875,325,text/html
https://www.foxnews.com/sports/davey-boy-smith-jr-make-major-league-wrestling-return-serious-health-issues,213.3486328125,325,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-touts-upcoming-opponent-jake-crist-one-best-wrestlers-world,206.19921875,325,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-delighted-success-aew-stars-swerve-strickland-mjf,209.455078125,322,text/html
https://www.foxnews.com/media/former-wwe-superstar-describes-drastic-steps-transitioning-woman-alpha-males,235.705078125,328,text/html
https://www.foxnews.com/politics/biden-calls-for-an-end-to-impeachment-inquiry-after-indictment-fbi-informant-outrageous-effort.print,129.0556640625,84,text/html
https://www.foxnews.com/sports/the-rock-appears-fire-back-criticism-upcoming-roman-reigns-feud-tough-skin-love-passion,209.380859375,323,text/html
https://www.foxnews.com/sports/the-rock-inserting-himself-wwe-title-picture-feels-pretty-gross-seth-rollins-says,216.4248046875,323,text/html
https://www.foxnews.com/sports/49ers-george-kittle-offers-fun-special-way-book-wrestlemania-40-fan-outrage,211.603515625,322,text/html
https://www.foxnews.com/opinion/americas-kids-lgbt-failing.print,124.369140625,86,text/html
https://www.foxnews.com/sports/wwe-star-jade-cargill-recalls-royal-rumble-debut-wish-relive-again,207.7509765625,322,text/html
https://www.foxnews.com/media/president-biden-should-more-engaged-with-press-political-expert-warns-constantly-acting-indignant.print,119.3564453125,85,text/html
https://www.foxnews.com/sports/wwe-champ-rhea-ripley-eager-australia-homecoming-elimination-chamber,209.0439453125,322,text/html
https://www.foxnews.com/media/marjorie-taylor-greene-goes-curb-your-enthusiasm-mocking-georgians-disgusting.print,113.7255859375,86,text/html
https://www.foxnews.com/media/frustrated-cnn-host-threatens-cut-heated-interview-border-security-gop-lawmaker-may-speak.print,112.3330078125,82,text/html
https://www.foxnews.com/media/lawmakers-politicians-battle-online-social-media-firestorm-mayorkas-impeachment-absurd.print,115.0751953125,83,text/html
https://www.foxnews.com/media/11-13-independent-voters-choose-narcissist-trump-over-unfit-biden-ny-times-focus-group.print,127.478515625,87,text/html
https://www.foxnews.com/media/sean-hannity-biden-trump-border-policies-in-place-stroke-pen.print,100.875,81,text/html
https://www.foxnews.com/media/dr-nicole-saphiers-love-mom-celebrates-motherhood-latest-title-fox-news-books.print,120.1533203125,86,text/html
https://www.foxnews.com/media/famous-london-theater-bans-comedian-leading-chant-jewish-attendees-no-place-our-stages.print,114.427734375,84,text/html
https://www.foxnews.com/media/schumer-dismisses-concern-bidens-mental-acuity-right-wing-propaganda.print,122.390625,83,text/html
https://www.foxnews.com/politics/fox-news-politics-trump-vows-appeal.print,113.7890625,90,text/html
https://www.foxnews.com/media/photos-prince-harry-seen-stepping-off-private-plane-canada-rhetoric-climate-change.print,123.341796875,86,text/html
https://www.foxnews.com/world/top-diplomats-us-china-hold-constructive-talks-issues-dividing.print,101.072265625,81,text/html
https://www.foxnews.com/politics/judiciary-chair-jim-jordan-does-victory-lap-massive-banks-exit-68-trillion-un-climate-alliance.print,138.224609375,90,text/html
https://www.foxnews.com/politics/house-democrats-unveil-immigration-border-reform-plan-crisis-pivotal-election-issue.print,121.9814453125,84,text/html
https://www.foxnews.com/science,213.7890625,423,text/html
https://www.foxnews.com/politics/tony-bobulinski-attorney-accuses-oversight-dems-gaslighting-false-smears-hunter-biden-associate.print,133.55859375,86,text/html
https://www.foxnews.com/politics/biden-navalnys-death-no-doubt-putin-thugs-behind.print,122.8583984375,82,text/html
https://www.foxnews.com/media/former-hunter-biden-biz-partner-offered-critical-testimony-comer-joe-biden-brand.print,113.4716796875,90,text/html
https://www.foxnews.com/entertainment/mark-wahlberg-crashed-frat-party-daughters-college-nuts,222.4638671875,342,text/html
https://www.foxnews.com/category/food-drink/drinks,103.0556640625,339,text/html
https://www.foxnews.com/video/6346955420112,60.9638671875,73,text/html
https://www.foxnews.com/category/auto/attributes/racing,102.5302734375,339,text/html
https://www.foxnews.com/category/person/michael-jordan,105.611328125,339,text/html
https://www.foxnews.com/sports/nascar-star-tyler-reddick-elaborates-bet-wife-choose-sons-name.amp,128.09765625,185,text/html
https://www.foxnews.com/sports/ryan-blaney-captures-nascar-cup-series-championship-phoenix,212.71484375,320,text/html
